ss,task,seed,K,regret,mean_cand
5971,43,0,500,0.015497352927753227,500.0
5971,43,0,1000,0.01673816804344841,1000.0
5971,43,0,2000,0.0055793893478163215,2000.0
5971,43,0,4000,0.03843674410113651,3358.5
5971,43,0,8000,0.03843674410113651,3358.5
5971,43,0,16000,0.03843674410113651,3358.5
5971,43,0,full,0.03843674410113651,3358.5
5971,43,1,50,0.003100611564967548,50.0
5971,43,1,100,0.0012379626671535915,100.0
5971,43,1,250,0.003100611564967548,250.0
5971,43,1,500,0.003100611564967548,500.0
5971,43,1,1000,0.003100611564967548,1000.0
5971,43,1,2000,0.003100611564967548,2000.0
5971,43,1,4000,0.003100611564967548,3358.5
5971,43,1,8000,0.003100611564967548,3358.5
5971,43,1,16000,0.003100611564967548,3358.5
5971,43,1,full,0.003100611564967548,3358.5
5971,43,2,50,0.07749532198439135,50.0
5971,43,2,100,0.02169857605768799,100.0
5971,43,2,250,0.07625450686869606,250.0
5971,43,2,500,0.008680000912783536,500.0
5971,43,2,1000,0.0018597964492720331,1000.0
5971,43,2,2000,0.07315389530372884,2000.0
5971,43,2,4000,0.017978983159143924,3358.5
5971,43,2,8000,0.017978983159143924,3358.5
5971,43,2,16000,0.017978983159143924,3358.5
5971,43,2,full,0.017978983159143924,3358.5
5971,43,3,50,0.01115877869563242,50.0
5971,43,3,100,0.007439185797088355,100.0
5971,43,3,250,0.015497352927753227,250.0
5971,43,3,500,0.004960408014239581,500.0
5971,43,3,1000,0.015497352927753227,1000.0
5971,43,3,2000,0.013018575144904454,2000.0
5971,43,3,4000,0.016119186709872002,3358.5
5971,43,3,8000,0.016119186709872002,3358.5
5971,43,3,16000,0.016119186709872002,3358.5
5971,43,3,full,0.016119186709872002,3358.5
5971,43,4,50,0.008058167130664873,50.0
5971,43,4,100,0.0018597964492720331,100.0
5971,43,4,250,0.011777760029209161,250.0
5971,43,4,500,0.02045776094199281,500.0
5971,43,4,1000,0.009917963579937239,1000.0
5971,43,4,2000,0.011777760029209161,2000.0
5971,43,4,4000,0.013018575144904454,3358.5
5971,43,4,8000,0.013018575144904454,3358.5
5971,43,4,16000,0.013018575144904454,3358.5
5971,43,4,full,0.013018575144904454,3358.5
5971,34536,0,50,0.0021844095230706406,50.0
5971,34536,0,100,0.0072801714104959725,100.0
5971,34536,0,250,0.0047328872999862215,250.0
5971,34536,0,500,0.0047328872999862215,500.0
5971,34536,0,1000,0.004004750792296119,1000.0
5971,34536,0,2000,0.006552034902805759,2000.0
5971,34536,0,4000,0.002548477776915692,3472.5
5971,34536,0,8000,0.002548477776915692,3472.5
5971,34536,0,16000,0.002548477776915692,3472.5
5971,34536,0,full,0.002548477776915692,3472.5
5971,34536,1,50,0.0058238983951156564,50.0
5971,34536,1,100,0.0058238983951156564,100.0
5971,34536,1,250,0.0047328872999862215,250.0
5971,34536,1,500,0.00910051267972145,500.0
5971,34536,1,1000,0.0047328872999862215,1000.0
5971,34536,1,2000,0.005095761887425443,2000.0
5971,34536,1,4000,0.005095761887425443,3472.5
5971,34536,1,8000,0.005095761887425443,3472.5
5971,34536,1,16000,0.005095761887425443,3472.5
5971,34536,1,full,0.005095761887425443,3472.5
5971,34536,2,50,0.0010922047615352648,50.0
5971,34536,2,100,0.00436881904614117,100.0
5971,34536,2,250,0.0036406825384509567,250.0
5971,34536,2,500,0.0010922047615352648,500.0
5971,34536,2,1000,0.00436881904614117,1000.0
5971,34536,2,2000,0.0021844095230706406,2000.0
5971,34536,2,4000,0.001456273015380427,3472.5
5971,34536,2,8000,0.001456273015380427,3472.5
5971,34536,2,16000,0.001456273015380427,3472.5
5971,34536,2,full,0.001456273015380427,3472.5
5971,34536,3,50,0.006916103156650921,50.0
5971,34536,3,100,0.006916103156650921,100.0
5971,34536,3,250,0.006552034902805759,250.0
5971,34536,3,500,0.009464580933566613,500.0
5971,34536,3,1000,0.005095761887425443,1000.0
5971,34536,3,2000,0.009464580933566613,2000.0
5971,34536,3,4000,0.004004750792296119,3472.5
5971,34536,3,8000,0.004004750792296119,3472.5
5971,34536,3,16000,0.004004750792296119,3472.5
5971,34536,3,full,0.004004750792296119,3472.5
5971,34536,4,50,0.0018203412692254783,50.0
5971,34536,4,100,0.006187966648960708,100.0
5971,34536,4,250,0.009828649187411664,250.0
5971,34536,4,500,0.001456273015380427,500.0
5971,34536,4,1000,0.0072801714104959725,1000.0
5971,34536,4,2000,0.0047328872999862215,2000.0
5971,34536,4,4000,0.0047328872999862215,3472.5
5971,34536,4,8000,0.0047328872999862215,3472.5
